angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.17,,,"(855, 422, 361, 361)",,,0.0,,,0.05,,,0.03,,,0.6,,,0.1,,,0.06,,
0.17,,,"(855, 422, 361, 361)",,,0.0,,,0.05,,,0.03,,,0.59,,,0.1,,,0.06,,
0.17,,,"(855, 422, 361, 361)",,,0.0,,,0.05,,,0.03,,,0.59,,,0.1,,,0.06,,
0.15,,,"(850, 406, 377, 377)",,,0.0,,,0.04,,,0.09,,,0.53,,,0.09,,,0.1,,
0.13,,,"(851, 409, 374, 374)",,,0.0,,,0.03,,,0.1,,,0.56,,,0.09,,,0.08,,
0.14,,,"(849, 409, 374, 374)",,,0.0,,,0.03,,,0.09,,,0.57,,,0.08,,,0.09,,
0.16,,,"(851, 409, 375, 375)",,,0.0,,,0.04,,,0.12,,,0.52,,,0.09,,,0.07,,
0.24,,,"(854, 423, 364, 364)",,,0.0,,,0.04,,,0.03,,,0.47,,,0.14,,,0.08,,
0.24,,,"(854, 423, 364, 364)",,,0.0,,,0.04,,,0.03,,,0.47,,,0.14,,,0.08,,
0.2,0.13,,"(853, 423, 365, 365)","(1563, 464, 81, 81)",,0.0,0.02,,0.03,0.31,,0.02,0.06,,0.54,0.08,,0.13,0.19,,0.07,0.22,
0.24,0.06,,"(854, 424, 363, 363)","(1552, 461, 95, 95)",,0.0,0.01,,0.04,0.4,,0.02,0.06,,0.47,0.18,,0.14,0.21,,0.08,0.08,
0.19,,,"(821, 381, 385, 385)",,,0.0,,,0.03,,,0.05,,,0.64,,,0.07,,,0.02,,
0.15,,,"(820, 380, 385, 385)",,,0.0,,,0.04,,,0.05,,,0.65,,,0.09,,,0.02,,
0.18,,,"(821, 380, 385, 385)",,,0.0,,,0.03,,,0.06,,,0.64,,,0.07,,,0.02,,
0.17,,,"(820, 380, 386, 386)",,,0.0,,,0.04,,,0.06,,,0.61,,,0.09,,,0.02,,
0.23,,,"(855, 430, 355, 355)",,,0.0,,,0.05,,,0.02,,,0.45,,,0.16,,,0.09,,
0.17,,,"(852, 426, 358, 358)",,,0.0,,,0.03,,,0.02,,,0.56,,,0.16,,,0.06,,
0.2,,,"(854, 429, 356, 356)",,,0.0,,,0.04,,,0.02,,,0.48,,,0.17,,,0.09,,
0.15,,,"(839, 408, 373, 373)",,,0.0,,,0.08,,,0.06,,,0.47,,,0.13,,,0.11,,
0.14,,,"(843, 411, 369, 369)",,,0.0,,,0.05,,,0.07,,,0.52,,,0.13,,,0.09,,
0.12,,,"(840, 406, 373, 373)",,,0.0,,,0.04,,,0.05,,,0.61,,,0.11,,,0.06,,
0.14,,,"(842, 408, 371, 371)",,,0.0,,,0.05,,,0.05,,,0.55,,,0.14,,,0.07,,
0.15,,,"(841, 408, 371, 371)",,,0.0,,,0.05,,,0.05,,,0.54,,,0.12,,,0.09,,
0.13,,,"(857, 433, 347, 347)",,,0.0,,,0.03,,,0.01,,,0.61,,,0.19,,,0.03,,
0.13,,,"(857, 434, 346, 346)",,,0.0,,,0.03,,,0.01,,,0.55,,,0.25,,,0.03,,
0.13,,,"(857, 433, 347, 347)",,,0.0,,,0.03,,,0.01,,,0.61,,,0.19,,,0.03,,
0.13,,,"(857, 433, 347, 347)",,,0.0,,,0.03,,,0.01,,,0.61,,,0.19,,,0.03,,
0.2,,,"(857, 429, 343, 343)",,,0.0,,,0.08,,,0.01,,,0.49,,,0.2,,,0.02,,
0.18,,,"(858, 431, 340, 340)",,,0.0,,,0.06,,,0.01,,,0.55,,,0.19,,,0.02,,
0.21,,,"(858, 432, 334, 334)",,,0.0,,,0.1,,,0.01,,,0.37,,,0.23,,,0.08,,
0.2,,,"(860, 435, 335, 335)",,,0.0,,,0.07,,,0.01,,,0.51,,,0.17,,,0.04,,
0.11,,,"(819, 382, 379, 379)",,,0.0,,,0.06,,,0.01,,,0.69,,,0.12,,,0.02,,
0.11,,,"(819, 382, 379, 379)",,,0.0,,,0.06,,,0.01,,,0.69,,,0.12,,,0.02,,
0.13,,,"(821, 384, 376, 376)",,,0.0,,,0.06,,,0.01,,,0.67,,,0.1,,,0.03,,
0.14,,,"(821, 384, 376, 376)",,,0.0,,,0.06,,,0.01,,,0.66,,,0.1,,,0.03,,
0.08,0.14,0.24,"(824, 381, 379, 379)","(1560, 464, 86, 86)","(1890, 923, 79, 79)",0.0,0.01,0.02,0.03,0.28,0.08,0.01,0.05,0.06,0.78,0.28,0.02,0.07,0.2,0.53,0.02,0.05,0.05
0.08,0.14,,"(824, 381, 379, 379)","(1560, 464, 86, 86)",,0.0,0.0,,0.03,0.27,,0.01,0.05,,0.78,0.28,,0.07,0.21,,0.02,0.05,
0.08,0.15,0.23,"(824, 381, 379, 379)","(1560, 464, 86, 86)","(1890, 923, 79, 79)",0.0,0.01,0.02,0.03,0.29,0.08,0.01,0.05,0.06,0.78,0.26,0.02,0.07,0.19,0.54,0.02,0.05,0.05
0.08,0.14,0.23,"(824, 381, 379, 379)","(1560, 464, 86, 86)","(1890, 923, 79, 79)",0.0,0.01,0.02,0.03,0.28,0.08,0.01,0.05,0.06,0.78,0.28,0.02,0.07,0.2,0.54,0.02,0.05,0.05
0.14,0.26,,"(829, 386, 384, 384)","(1650, 492, 50, 50)",,0.0,0.08,,0.06,0.17,,0.05,0.05,,0.61,0.07,,0.1,0.31,,0.04,0.06,
0.12,0.25,,"(829, 386, 383, 383)","(1650, 492, 50, 50)",,0.0,0.08,,0.05,0.17,,0.03,0.05,,0.67,0.07,,0.09,0.31,,0.04,0.06,
0.12,0.25,,"(829, 386, 383, 383)","(1650, 492, 50, 50)",,0.0,0.08,,0.05,0.17,,0.03,0.05,,0.67,0.07,,0.09,0.31,,0.04,0.06,
0.14,,,"(831, 386, 382, 382)",,,0.0,,,0.08,,,0.04,,,0.56,,,0.1,,,0.08,,
